,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
59,14.7% (2014),Pirramimma,Cork,Australia,2014*,Shiraz,$26.59 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.7 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
60,14.00%,Take It To The Grave,Can Closure,Australia,2016,Shiraz Cans 250mL,$22.99 per pack of 4,$130.99 per case of 24,$5.99 per can (in store),,,250mL,2.8,South Australia,Shiraz,Full Bodied,Dry,,,,,
61,13%,Take It To The Grave,Can Closure,Australia,2017*,Pinot Noir Cans 250mL,$22.99 per pack of 4,$130.99 per case of 24,$5.99 per can (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,250mL,2.6,South Australia,Pinot Noir,Light Bodied,Dry,,,,,
62,14.0% (2009),Clairault,Screw Cap,Australia,2009*,Estate Cabernet Sauvignon,$43.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,8.3 (2009),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
63,14.5%,McWilliam's,Screw Cap,Australia,2016*,McW Reserve 660 Hilltops Shiraz,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"Awards: 2 Gold Medals - China Wine and Spirits Awards 2017 (2016 vintage), Sydney Royal Wine Show 2017",Hilltops,750mL,8.6,New South Wales,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
64,13.5% (2012),Yarra Yering,Cork,Australia,2012*,Dry Red No. 1,$87.39 in any six,$524.34 per case of 6,$91.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2012),Victoria,Red Blend,,Dry,Ranked 3 of 25 Cabernet Sauvignon from Victoria,,Excellent,,
65,14.5%,Swings & Roundabouts,Screw Cap,Australia,2015*,Cabernet Merlot,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,Ranked 17 of 24 Cabernet Sauvignon from Margaret River,,,,
66,14.5%,Château Tanunda,Screw Cap,Australia,2017*,Matthews Road Cabernet Sauvignon,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,Awards: Gold medal - China Wine & Spirtrs Awards 2017,Eden Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
67,13.5%,Curlewis,Screw Cap,Australia,2015*,Pinot Noir,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 23 of 25 Pinot Noir from Geelong,,,,
68,13.5%,Leasingham,Cork,Australia,2014*,Classic Clare Cabernet Sauvignon,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
