,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
53,15.00%,Tahbilk,Screw Cap,Australia,Shiraz 2004,$16.15 in any six,Goulburn Valley,750mL,8.9,Victoria,Shiraz,Dry,,,Full Bodied,$95.85 per case of 6,$16.99 per bottle,Ranked 8 of 41 Shiraz from Central Victoria,
54,15.00%,Wolf Blass,Screw Cap,Australia,Gold Label Shiraz Viognier 2005,$16.15 in any six,Adelaide Hills,750mL,8.9,South Australia,Shiraz Viognier,Dry,,,,$95.85 per case of 6,$16.99 per bottle,,
55,15.00%,Wolf Blass,Screw Cap,Australia,Gold Label Shiraz Viognier 2005,$16.15 in any six,Adelaide Hills,750mL,8.9,South Australia,Shiraz Viognier,Dry,,,,$95.85 per case of 6,$16.99 per bottle,,
56,14.00%,Metala,Cork,Australia,Black Label Original Plantings Shiraz 2004,$49.90 in any six,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Dry,,,Full Bodied,$299.40 per case of 6,$51.90 per bottle,,
57,14.50%,Woodstock,Screw Cap,Australia,Cabernet Sauvignon 2005,$18.99 in any six,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,2005,,Full Bodied,$225.49 per case of 12,$19.99 per bottle,Ranked 15 of 25 Cabernet Sauvignon from McLaren Vale,
58,14.50%,Annie's Lane,Screw Cap,Australia,Shiraz 2006,$16.90 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$101.40 per case of 6,$17.90 per bottle,Ranked 18 of 27 Shiraz from Clare Valley,
59,14.50%,Annie's Lane,Screw Cap,Australia,Shiraz 2006,$16.90 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$101.40 per case of 6,$17.90 per bottle,Ranked 18 of 27 Shiraz from Clare Valley,
60,14.50%,Mildara,Cork,Australia,Rothwell Cabernet Sauvignon 2003,$22.90 in any six,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,,Full Bodied,$137.40 per case of 6,$22.90 per bottle,"Awards: 2 Gold - National Wine Show 2005, Limestone Coast Wine Show 2005",
61,13.5% (2010),Lillydale Estate,Screw Cap,Australia,Pinot Noir,$14.90 in any six,Yarra Valley,750mL,8.0 (2010),Victoria,Pinot Noir,Dry,2010*,,Light Bodied,$89.40 per case of 6,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
62,14.50%,Mitchelton,Cork,Australia,Print Label Shiraz 1998,$69.99 per bottle,Central Victoria,750mL,8.6,Victoria,Shiraz,Dry,,,Full Bodied,,,,
63,14.50%,Mitchelton,Cork,Australia,Print Label Shiraz 1998,$69.99 per bottle,Central Victoria,750mL,8.6,Victoria,Shiraz,Dry,,,Full Bodied,,,,
64,13.50%,Wolf Blass,Screw Cap,Australia,Yellow Label Shiraz 2006,$14.90 in any six,,750mL,8,South Australia,Shiraz,Dry,2006,,Full Bodied,$87.00 per case of 6,$15.90 per bottle,,
