,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
64,17.00%,Chris Ringland,Cork,Australia,Hoffman Shiraz 2006,$520.00 per bottle,,,Barossa Valley,750mL,10.1,South Australia,Shiraz,Full Bodied,Dry,,,,,,
65,13.5%,Mount Langi Ghiran,Screw Cap,Australia,Langi Shiraz 2011,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,Grampians,750mL,8.0,Victoria,Shiraz,,Dry,2011*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
66,14.000000000000002%,Clos Bellane,,Australia,Côtes du Rhône Villages Valreas Les Echalas,$67.95 per bottle,$815.40 per case of 12,,,750mL,8.2,,"Grenache, syrah",,,,,,,,
67,14.5%,Henschke,Cork,Australia,Mount Edelstone Shiraz 2009,"$1,140.00 per case of 6",$199.99 per bottle,,Eden Valley,750mL,8.6,South Australia,Shiraz,,Dry,2009,,,,Exceptional,
68,13.0%,Thomas Labaille,,Australia,Sancerre L'Authentique Rouge,$44.95 per bottle,$539.40 per case of 12,,,750mL,7.6,,Pinot Noir,,,,,,,,
69,14.5,Artwine,Screw Cap,Australia,Feral Farmer,$30.00 per bottle,$180.00 per case of 6,Awards: Silver (4 Stars) Winestate Cabernet Challenge 2017,Clare Valley,750ml,8.6,,"Cabernet Sauvignon, Cabernet Franc & Merlot",Medium Bodied,Dry,,true,,,,
70,13.5%,Quattro Mano,Screw Cap,Australia,Duende Pinta,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,Barossa Valley,750mL,8.0,South Australia,Red Blend,,Dry,2015*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
71,14.50%,Grant Burge,Cork,Australia,Meshach Shiraz 2003,$167.99 per bottle,Ranked 29 of 50 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2003,,,,Outstanding,
72,14.5%,Petaluma,,Australia,Coonawarra Red 2010,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Coonawarra,750mL,8.6,South Australia,"Cabernet Sauvignon, Merlot",,,,,,,,
73,14.50%,Cape Mentelle,Cork,Australia,Cabernet Sauvignon 1999,$128.30 in any six,$134.99 per bottle,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,1999,,,,Outstanding,
74,14.000000000000002%,Clos Bellane,,Australia,Côtes du Rhône Villages Valreas Les Echalas,$67.95 per bottle,$815.40 per case of 12,,,750mL,8.2,,"Grenache, syrah",,,,,,,,
75,12.8%,Gerard Mugneret,,Australia,Vosne Romanee,$158.95 per bottle,"$1,907.40 per case of 12",,,750mL,7.5,,Pinot Noir,,,,,,,,
76,13.0%,Thomas Labaille,,Australia,Sancerre L'Authentique Rouge,$44.95 per bottle,$539.40 per case of 12,,,750mL,7.6,,Pinot Noir,,,,,,,,
77,14.5,Artwine,Screw Cap,Australia,Feral Farmer,$30.00 per bottle,$180.00 per case of 6,Awards: Silver (4 Stars) Winestate Cabernet Challenge 2017,Clare Valley,750ml,8.6,,"Cabernet Sauvignon, Cabernet Franc & Merlot",Medium Bodied,Dry,,true,,,,
78,14.00%,Mildara,Screw Cap,Australia,Coonawarra Cabernet Sauvignon 2012,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Ranked 36 of 54 Cabernet Sauvignon from Coonawarra,,,
79,14.5%,McLaren Vale III Associates,,Australia,Four Score Grenache,$40.90 in any six,$245.40 per case of 6,$42.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,2014*,,Awards: Gold Medal 93pts - Wine Showcase Magazine 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
80,14.0% (2012),Yalumba,Cork,Australia,The Caley Cabernet Shiraz,$349.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 63 Cabernet Sauvignon from South Australia,Coonawarra & Barossa,750mL,8.6 (2012),South Australia,Cabernet Shiraz,Full Bodied,Dry,2012*,true,,,,
81,13.5%,Toolangi,Screw Cap,Australia,Vineyards Reserve Yarra Valley Shiraz 2010,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,Yarra Valley,750mL,8,Victoria,Shiraz,Full Bodied,Dry,2010,,Ranked 2 of 24 Shiraz from Yarra Valley,,,
82,14.5%,Hollick,Screw Cap,Australia,Hollaia Tempranillo,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,Wrattonbully,750mL,8.6,South Australia,Tempranillo,Full Bodied,Dry,2013*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
83,,,,,Unknown,,,,,,,,,,,,,,,,
84,13.5%,Ulithorne,Screw Cap,Australia,Specialis Tempranillo Grenache 2016,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,McLaren Vale,750mL,8.3,South Australia,Red Blend,,Dry,2016,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
