,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
15,14.5,Haselgrove,Screw Cap,Australia,2015,,Origin Catkin Shiraz 2016,$92.24 per pack of 2,,750mL,8.6,,Shiraz,Full Bodied,,$276.72 per case of 6,,,,,
16,13.5,Lisa McGuigan,Screw Cap,Australia,,,Lisa McGuigan Platinum Wrattonbully Pinot Noir 2015,$78.46 per pack of 2,,750mL,8,,Red Wine,Light Bodied,,$470.76 per case of 12,,,,,
17,13.9,Star Bay,Screw Cap,Australia,,,Pinot Noir 2016,$37.08 per pack of 2,,750mL,8.2,,Red Wine,Light Bodied,,$222.48 per case of 12,,,,,
18,12.5,Chalmers,Screw Cap,Australia,,,Rosato 2018,$27.99 per bottle,Heathcote,750mL,7.4,Victoria,"Aglianico, Sagrantino & Nero d'Avola",Medium Bodied,,$167.94 per case of 6,,,,true,
19,14%,St Leonards Vineyard,Screw Cap,Australia,,,Doctor Durif,$28.00 per bottle,Rutherglen,750ml,8.3,Victoria,Durif,,,$168.00 per case of 6,,,,true,
20,14%,S.C. Pannell,Screw Cap,Australia,,,Adelaide Hills Syrah,$37.99 per bottle,Adelaide Hills,750mL,8.3,South Australia,Syrah,Medium Bodied,Dry,$455.88 per case of 12,,,,,
21,13.50%,Penfolds,Cork,Australia,1994,Exceptional,Grange 1994 Magnum 1.5L,"$1,700.00 per bottle",,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,,
22,14.5%,Clarendon Hills,Cork,Australia,,,Astralis Shiraz 2003,$475.00 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
23,14.00%,Henschke,Cork,Australia,1999,Exceptional,Hill of Grace Shiraz 1999,$799.00 per bottle,Eden Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 5 of 18 Shiraz from South Australia,,,,,
24,14.00%,Penfolds,Cork,Australia,1997,Exceptional,Grange 1997 Magnum 1.5L,"$1,500.00 per bottle",,1.5L,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,,
25,13.50%,Seppelt,Screw Cap,Australia,2004,Outstanding,St Peters Great Western Shiraz 2004,$99.99 per bottle,,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,,,
