,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
108,10.5% (2008),Wandin Valley Estate,Screw Cap,Australia,2008*,Pavillion Rosé,$14.90 in any six,$178.80 per case of 12,$14.90 per bottle,,750mL,6.2 (2008),New South Wales,,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
109,14.50%,Kay Brothers Amery Vineyards,Screw Cap,Australia,,Block 6 Shiraz 2008,$59.85 in any six,$355.29 per case of 6,$62.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Outstanding,,,
110,,Penfolds,Screw Cap,Australia,,Koonunga Hill Chardonnay & Shiraz Cabernet Gift Pack,$24.99 per pack,,,,750mL,,South Australia,,Full Bodied,,,,,,
111,14.5% (2007),Penfolds,Cork,Australia,2007*,Kalimna Bin 28 Shiraz Magnum 1.5L,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,,1.5L,8.6 (2007),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Excellent,,,
112,,,,,,Unknown,,,,,,,,,,,,,,,
113,15.00%,Cape Mentelle,Cork,Australia,2000,Cabernet Sauvignon 2000,,,,Margaret River,750mL,8.9,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Outstanding,,,
114,13.50%,Cullen,Cork,Australia,1992,Cabernet Merlot 1992,$149.99 per bottle,,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Exceptional,,true,
115,14.00%,Cullen,Screw Cap,Australia,2004,Diana Madeline 2004,$174.99 per bottle,Ranked 1 of 20 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,7.7,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Exceptional,,,
116,13.50%,Majella,Cork,Australia,1999,Shiraz 1999,$47.50 in any six,$563.89 per case of 12,$49.99 per bottle,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
117,13.50%,Majella,Cork,Australia,1999,Shiraz 1999,$47.50 in any six,$563.89 per case of 12,$49.99 per bottle,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
118,13.50%,Howard Park,Cork,Australia,1992,Cabernet Blend 1992,$109.99 per bottle,,,,750mL,8.3,Western Australia,Cabernet Merlot,,Dry,,Excellent,,,
119,14.00%,Metala,Cork,Australia,,Black Label Original Plantings Shiraz 2001,$61.75 in any six,$370.50 per case of 6,$64.99 per bottle,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
