,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
37,14.5%,Katnook Estate,Screw Cap,Australia,2008,Prodigy Shiraz 2008,$627.00 per case of 6,$109.99 per bottle,"Awards: Decanter World Wine Awards, 2012: Commended, 
International Wine Challenge, 2012: Bronze, 
Decanter World Wine Awards, 2011: Bronze, 
International Wine Challenge, 2011: Silver, 
Japan Wine Challenge, 2011: Bronze",,750mL,8.6,Shiraz,Full Bodied,Dry,Excellent,Coonawarra,South Australia,,,
38,12.30%,Penfolds,,Australia,1971,Grange 1971,"$1,999.00 per bottle",Awards: Named as the world's greatest wine of the 1970's - Tasting held by European luxury magazine FINE (2015),,,750mL,7.3,Shiraz,Full Bodied,Dry,Exceptional,,South Australia,,,
39,14.000000000000002%,De Bortoli,Screw Cap,Australia,2015*,Single Vineyard Section A8 Yarra Valley Syrah,$44.65 in any six,$267.90 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Shiraz,Full Bodied,Dry,,Yarra Valley,Victoria,,,
40,14%,Gemtree,Cork,Australia,2014*,Obsidian Shiraz,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Awards: Gold - World Wine Championships Awards 2014,750mL,8.3,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 24 of 116 Shiraz from McLaren Vale
41,14.50%,Mitolo,Screw Cap,Australia,2005,GAM Shiraz 2005,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,"Awards: Blue-Gold - Sydney International Wine Competition Awarded: 2007,  Gold - Mundus Vini Awarded: 2008,  Silver - International Wine Challenge Awarded: 2010,  Silver - Decanter World Wine Awards Awarded: 2007,  Seal Of Approval - Japan Wine Challenge Awarded:",,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,Ranked 49 of 73 Shiraz from McLaren Vale,
42,14%,Bendbrook,Screw Cap,Australia,2017,Yarn Spinner Shiraz Cabernet,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,,,,,Adelaide Hills,South Australia,,,
43,14.50%,Mitolo,Screw Cap,Australia,2005,GAM Shiraz 2005,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,"Awards: Blue-Gold - Sydney International Wine Competition Awarded: 2007,  Gold - Mundus Vini Awarded: 2008,  Silver - International Wine Challenge Awarded: 2010,  Silver - Decanter World Wine Awards Awarded: 2007,  Seal Of Approval - Japan Wine Challenge Awarded:",,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,Ranked 49 of 73 Shiraz from McLaren Vale,
44,15.00%,Mount Langi Ghiran,Cork,Australia,1999,Langi Shiraz 1999,$149.99 per bottle,,,,750mL,8.9,Shiraz,Full Bodied,Dry,Excellent,Grampians,Victoria,,,
45,10.50%,Sunnyvale,Cask Closure,Australia,Non Vintage,Medium Dry Red Cask 4L,$13.99 each,$26.60 per case of 2,,,4L,33,Red Blend,,Dry,,,,,,
46,14.000000000000002%,Il Marroneto,,Australia,,Brunello di Montalcino,$159.95 per bottle,$959.70 per case of 6,,,750mL,8.2,Sangiovese,,,,,,,,
47,14.499999999999998%,Il Marroneto,,Australia,,Brunello di Montalcino Madonna delle Grazie,$339.95 per bottle,"$2,039.70 per case of 12",,,750mL,8.5,Sangiovese,,,,,,,,
48,14.0%,Clarnette & Ludvigsen,Screw Cap,Australia,2014*,Reserve Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Shiraz,Full Bodied,Dry,,Grampians,,,Ranked 12 of 15 Shiraz from Grampians,
49,14.50%,Penfolds,Screw Cap,Australia,,Bin 150 Marananga Shiraz 2014,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,,
50,13.8%,Wynns,Screw Cap,Australia,2015*,Michael Shiraz 2015,$112.10 in any six,$672.60 per case of 6,$117.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,Shiraz,,,,Coonawarra,South Australia,,,
51,14.5%,Schild Estate,,Australia,2013,Ben Reserve,$32.30 in any six,$193.80 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.8,Shiraz,,,,,,,,
